name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
Fp2	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
F7	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
F3	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
Fz	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
F4	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
F8	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
T3	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
C3	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
Cz	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
C4	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
T4	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
T5	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
P3	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
Pz	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
P4	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
T6	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
O1	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
O2	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
AF4	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
AF3	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
FC2	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
FC1	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
CP1	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
CP2	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
PO3	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
PO4	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
FC6	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
FC5	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
CP5	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	good	n/a
EMG	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	bad	n/a
ECG	EEG	µV	1.0	45.0	ElectroEncephaloGram	2048.0	bad	n/a
